A,B,Y
-0.16371508977864344,-1.0116189020384614,0
0.6248171634181913,-0.14897781039609342,1
-0.30426144543757644,1.3628980311627215,0
0.9778237455085403,-0.12702668710198528,0
-0.9158323271912854,0.3711070476831471,0
0.5786029080029658,-1.0342235409493585,0
-1.0056296553337052,0.4242366879077062,0
-0.9416209866455489,-0.22456491844368828,0
0.21446369585223368,-0.7285693482055043,0
-0.3680115348277897,0.8284578652867606,0
-0.12045246248674188,-1.018696102237264,0
-1.121736737066433,0.3265694775658675,0
0.8023370092114968,-0.4320362549015762,0
0.3823565637540969,0.08070547882621787,1
1.3143197095875028,0.4928448622099139,0
-0.35744006827312125,0.19336702134682116,1
-0.6902182435460423,0.6751220403290689,0
-0.13720176022953673,-1.061579003080618,0
-0.4796726936709476,0.8825318657138038,0
0.8953188303546239,0.2430338666282033,0
-0.19254651898458833,0.9946352496094729,0
0.37719171908296767,-0.9993609812678803,0
-0.9121112759401749,0.7623977160422625,0
0.5969993010177813,-0.8187777848151734,0
0.6347403002332366,0.827029525455392,0
-0.09395381828127419,-0.8934047411785803,0
0.5261183709071027,1.0226249307138244,0
0.8367523251049536,-0.5389641949770372,0
0.9235482009319316,-0.06316451322630046,0
-1.12553307896381,0.1641143968227589,0
0.9625911363919329,-0.12691294365355058,0
-0.21111771582430766,0.9355653020654215,0
-0.6812478397076459,-0.649092829611577,0
-0.9031175939137088,0.06125766533931591,0
-0.1881204448240184,-0.7173919065054115,0
0.5962348559623203,-0.9234482731554129,0
-0.2042825534974533,0.6470162851458344,0
0.9086502123442232,-0.5993638791709851,0
-0.49888633813412475,-0.5202620987733243,0
-0.648556052146869,-0.8055012897482942,0
0.46331932753279687,-1.0074801707671102,0
-0.23298980650281853,1.151380860362482,0
0.45801512889602153,-0.08147588267446157,1
0.7317258828442095,-0.36383011966966783,0
-0.8519868089382394,0.49903262282433913,0
0.695834958926921,-0.44774312683449363,0
-0.6901449210765186,-0.6239872324352841,0
0.6403184938992245,0.6424362617837353,0
-1.1816867246614033,0.2928405896290568,0
0.7990143201713975,-0.638585800788496,0
0.4241537750690105,-0.9243295714306777,0
